,Ratio_faults_found
Fault_found_number_1,0.9952925
Fault_found_number_2,0.9853225
Fault_found_number_3,0.0014375
Fault_found_number_4,0.71037
Fault_found_number_5,0.2305425
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.9691675
Fault_found_number_9,0.0015975
Fault_found_number_10,0.2134325
Fault_found_number_11,0.52128
Fault_found_number_12,0.9809875
Fault_found_number_13,0.9407125
Fault_found_number_14,0.99906
Fault_found_number_15,0.00186
Fault_found_number_16,0.069195
Fault_found_number_17,0.8266925
Fault_found_number_18,0.930105
Fault_found_number_19,0.0232475
Fault_found_number_20,0.37001
