,Ratio_faults_found
Fault_found_number_1,0.9954525
Fault_found_number_2,0.98552
Fault_found_number_3,0.0015225
Fault_found_number_4,0.7694925
Fault_found_number_5,0.2307825
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.9695975
Fault_found_number_9,0.0016725
Fault_found_number_10,0.22011
Fault_found_number_11,0.5377225
Fault_found_number_12,0.981435
Fault_found_number_13,0.941085
Fault_found_number_14,0.99909
Fault_found_number_15,0.0019775
Fault_found_number_16,0.0764025
Fault_found_number_17,0.8329725
Fault_found_number_18,0.93058
Fault_found_number_19,0.02675
Fault_found_number_20,0.3786075
