,Ratio_faults_found
Fault_found_number_1,0.99561
Fault_found_number_2,0.985625
Fault_found_number_3,0.0014175
Fault_found_number_4,0.8162225
Fault_found_number_5,0.229305
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.9696375
Fault_found_number_9,0.0015075
Fault_found_number_10,0.214255
Fault_found_number_11,0.5525475
Fault_found_number_12,0.9814125
Fault_found_number_13,0.941185
Fault_found_number_14,0.9991125
Fault_found_number_15,0.0017675
Fault_found_number_16,0.0783575
Fault_found_number_17,0.8375025
Fault_found_number_18,0.9309625
Fault_found_number_19,0.0298875
Fault_found_number_20,0.3846975
