,Ratio_faults_found
Fault_found_number_1,0.99625
Fault_found_number_2,0.98431
Fault_found_number_3,0.0012225
Fault_found_number_4,0.8304975
Fault_found_number_5,0.9991925
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.96861
Fault_found_number_9,0.0012675
Fault_found_number_10,0.719075
Fault_found_number_11,0.543605
Fault_found_number_12,0.9852975
Fault_found_number_13,0.9391525
Fault_found_number_14,0.9991075
Fault_found_number_15,0.001515
Fault_found_number_16,0.85794
Fault_found_number_17,0.8379275
Fault_found_number_18,0.931115
Fault_found_number_19,0.7119975
Fault_found_number_20,0.6301425
