,Ratio_faults_found
Fault_found_number_1,0.99631
Fault_found_number_2,0.9843925
Fault_found_number_3,0.0015
Fault_found_number_4,0.8776575
Fault_found_number_5,0.9992525
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.969005
Fault_found_number_9,0.0015625
Fault_found_number_10,0.726745
Fault_found_number_11,0.56399
Fault_found_number_12,0.98536
Fault_found_number_13,0.9394925
Fault_found_number_14,0.9991675
Fault_found_number_15,0.001915
Fault_found_number_16,0.857415
Fault_found_number_17,0.8428225
Fault_found_number_18,0.9315
Fault_found_number_19,0.6881875
Fault_found_number_20,0.600205
