,Ratio_faults_found
Fault_found_number_1,0.996205
Fault_found_number_2,0.9841375
Fault_found_number_3,0.0012325
Fault_found_number_4,0.7960525
Fault_found_number_5,0.999145
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.968345
Fault_found_number_9,0.001285
Fault_found_number_10,0.729075
Fault_found_number_11,0.531485
Fault_found_number_12,0.9831525
Fault_found_number_13,0.9391625
Fault_found_number_14,0.99908
Fault_found_number_15,0.001595
Fault_found_number_16,0.847095
Fault_found_number_17,0.8334025
Fault_found_number_18,0.930855
Fault_found_number_19,0.5486825
Fault_found_number_20,0.566205
