cluster_id,cost
2,100.58382644884182
3,102.04174374006837
4,105.18274030130505
5,102.98057880793924
6,119.57679538297074
7,108.39636110704183
8,116.85778313604641
9,119.39521651146973
10,123.39684007786829
11,120.00875198376193
12,125.87826447021645
13,126.69601849670653
14,111.93144916157019
