,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,11,15.0,16.0,41.0,58.0,60.0,63.0,74.0,79.0,87.0,89.0,95.0,96.0,100.0,102.0,104.0,114.0,123.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1.0,2.0,3.0,6.0,7.0,10.0,12.0,13.0,18.0,19.0,20.0,22.0,23.0,24.0,25.0,26.0,27.0,29.0,31.0,34.0,35.0,37.0,38.0,39.0,42.0,43.0,44.0,45.0,46.0,49.0,52.0,54.0,56.0,57.0,59.0,61.0,62.0,68.0,69.0,70.0,71.0,72.0,75.0,77.0,78.0,80.0,81.0,82.0,83.0,84.0,85.0,88.0,90.0,91.0,92.0,94.0,99.0,103.0,105.0,107.0,108.0,111.0,112.0,113.0,116.0,117.0,119.0,120.0,121.0,122.0
2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,5.0,17.0,21.0,30.0,32.0,33.0,40.0,47.0,53.0,64.0,65.0,66.0,67.0,73.0,97.0,98.0,106.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,9.0,14.0,28.0,51.0,55.0,76.0,86.0,93.0,101.0,109.0,110.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
